Timestamp,Gender,Age,Status,Income,Frequency,Enjoyment,Time Spent,Outlet Proximity,Membership,Frequent Purchase,Avg Spend,Quality Rating,Price Range Rating,Sales Importance,Ambiance Rating,WiFi Rating,Service Rating,Meeting/Hangout Likelihood,Promotion Channels,Buying Intention,Calculated Age,Numerical Income
2019-10-01 14:41:56-08:00,Female,Below 20,Student,"Less than RM25,000",Never,dine in,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,2,5,4,3,3,5,Through friends and word of mouth,Yes,20.0,25000.0
2019-10-01 14:42:02-08:00,Female,From 20 to 29,Self-employed,"Less than RM25,000",Rarely,take away,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Zero,3,1,5,4,3,3,2,"Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes,24.5,25000.0
2019-10-01 14:45:52-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,take away,Below 30 minutes,within 1km,No,Cold drinks,Less than RM20,3,4,5,4,3,4,2,Social Media;Through friends and word of mouth,Yes,24.5,37500.0
2019-10-01 15:08:53-08:00,Male,Below 20,Student,"Less than RM25,000",Rarely,drive-thru,Below 30 minutes,within 1km,Yes,Cold drinks,Less than RM20,3,3,3,3,3,3,3,Social Media,Yes,20.0,25000.0
2019-10-01 15:12:11-08:00,Male,40 and above,Employed,"RM100,000 - RM150,000",Rarely,dine in,Below 30 minutes,more than 3km,Yes,Coffee,Around RM20 - RM40,4,4,4,4,2,3,4,Social Media;In Store displays,Yes,40.0,125000.0
2019-10-01 15:16:32-08:00,Female,Below 20,Student,"Less than RM25,000",Rarely,dine in,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,3,2,2,2,4,3,Social Media;Through friends and word of mouth,No,20.0,25000.0
2019-10-01 15:20:55-08:00,Female,40 and above,Housewife,"Less than RM25,000",Monthly,take away,Below 30 minutes,more than 3km,Yes,Cold drinks;Juices;Pastries,More than RM40,5,4,3,5,3,5,5,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes,40.0,25000.0
2019-10-01 15:21:16-08:00,Female,Below 20,Student,"Less than RM25,000",Rarely,drive-thru,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,3,3,2,3,3,3,3,Social Media,Yes,20.0,25000.0
2019-10-01 15:57:29-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,take away,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Around RM20 - RM40,4,3,5,4,4,5,5,Social Media;Through friends and word of mouth,Yes,24.5,37500.0
2019-10-01 16:02:35-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Monthly,take away,Between 30 minutes to 1 hour,1km - 3km,Yes,Coffee,Less than RM20,4,3,4,3,2,3,4,Starbucks Website/Apps,Yes,24.5,37500.0
2019-10-01 16:03:17-08:00,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,drive-thru,Below 30 minutes,1km - 3km,No,Coffee;Cold drinks,Around RM20 - RM40,5,4,3,4,3,3,3,In Store displays,Yes,24.5,25000.0
2019-10-01 16:03:57-08:00,Male,Below 20,Student,"Less than RM25,000",Monthly,dine in,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Less than RM20,5,5,5,5,5,5,5,Through friends and word of mouth,Yes,20.0,25000.0
2019-10-01 16:05:59-08:00,Male,Below 20,Student,"Less than RM25,000",Monthly,dine in,Below 30 minutes,1km - 3km,No,Coffee,Less than RM20,3,3,3,3,4,3,3,Social Media,Yes,20.0,25000.0
2019-10-01 18:19:46-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,drive-thru,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,4,3,4,4,3,4,3,Starbucks Website/Apps;Social Media,Yes,24.5,25000.0
2019-10-01 20:32:12-08:00,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,dine in,Between 1 hour to 2 hours,1km - 3km,Yes,Coffee,More than RM40,2,1,5,1,4,3,3,Social Media,Yes,24.5,25000.0
2019-10-02 00:13:06-08:00,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,drive-thru,Below 30 minutes,1km - 3km,No,Coffee;Cold drinks,Around RM20 - RM40,5,4,3,4,3,3,3,In Store displays,Yes,24.5,25000.0
2019-10-02 09:29:28-08:00,Male,From 30 to 39,Student,"Less than RM25,000",Rarely,dine in,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Around RM20 - RM40,3,3,4,3,3,3,3,Social Media,Yes,34.5,25000.0
2019-10-02 19:14:30-08:00,Male,From 20 to 29,Employed,"Less than RM25,000",Rarely,take away,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Less than RM20,4,2,3,5,4,4,5,Social Media;Through friends and word of mouth,Yes,24.5,25000.0
2019-10-02 19:15:13-08:00,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,take away,Below 30 minutes,more than 3km,No,Coffee,Zero,3,1,5,3,4,4,5,Social Media,No,24.5,25000.0
2019-10-02 19:15:27-08:00,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,dine in,Between 30 minutes to 1 hour,1km - 3km,No,Coffee,Less than RM20,4,3,2,4,3,4,4,Through friends and word of mouth,No,24.5,25000.0
2019-10-02 19:23:55-08:00,Female,From 20 to 29,Self-employed,"RM25,000 - RM50,000",Monthly,dine in,Below 30 minutes,within 1km,Yes,Coffee;Cold drinks;Pastries;Sandwiches,Around RM20 - RM40,4,3,4,5,4,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes,24.5,37500.0
2019-10-02 19:27:56-08:00,Female,From 20 to 29,Self-employed,"Less than RM25,000",Never,never,Below 30 minutes,more than 3km,No,Never,Zero,3,3,3,3,3,3,3,Never hear,No,24.5,25000.0
2019-10-02 19:29:53-08:00,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,dine in,Below 30 minutes,more than 3km,No,Coffee,Zero,2,1,5,4,4,4,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No,24.5,25000.0
2019-10-02 19:31:32-08:00,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,dine in,Between 30 minutes to 1 hour,1km - 3km,Yes,Cold drinks,Less than RM20,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes,24.5,37500.0
